Datetime,EKPC
2015-07-08,1351.9583333333333
2015-07-09,1402.375
2015-07-10,1435.5
2015-07-11,1373.5
2015-07-12,1431.2083333333333
2015-07-13,1539.25
2015-07-14,1515.0833333333333
2015-07-15,1330.5
2015-07-16,1393.8333333333333
2015-07-17,1562.4583333333333
2015-07-18,1677.0
2015-07-19,1652.7083333333333
2015-07-20,1655.5833333333333
2015-07-21,1562.9166666666667
2015-07-22,1428.75
2015-07-23,1410.0416666666667
2015-07-24,1499.2083333333333
2015-07-25,1496.7916666666667
2015-07-26,1571.0
2015-07-27,1672.0
2015-07-28,1639.7916666666667
2015-07-29,1625.2916666666667
2015-07-30,1630.1666666666667
2015-07-31,1511.2083333333333
2015-08-01,1472.9583333333333
2015-08-02,1450.25
2015-08-03,1556.6666666666667
2015-08-04,1512.375
2015-08-05,1419.9166666666667
2015-08-06,1335.5833333333333
2015-08-07,1320.7916666666667
2015-08-08,1394.6666666666667
2015-08-09,1480.375
2015-08-10,1545.7083333333333
2015-08-11,1552.5
2015-08-12,1353.9583333333333
2015-08-13,1370.0416666666667
2015-08-14,1377.4166666666667
2015-08-15,1429.875
2015-08-16,1491.375
2015-08-17,1432.875
2015-08-18,1416.5833333333333
2015-08-19,1414.2916666666667
2015-08-20,1308.1666666666667
2015-08-21,1284.4583333333333
2015-08-22,1313.9583333333333
2015-08-23,1448.7083333333333
2015-08-24,1426.2083333333333
2015-08-25,1170.9583333333333
2015-08-26,1139.9166666666667
2015-08-27,1247.0416666666667
2015-08-28,1308.1666666666667
2015-08-29,1389.6666666666667
2015-08-30,1385.0833333333333
2015-08-31,1490.0
2015-09-01,1455.125
2015-09-02,1461.0
2015-09-03,1560.7916666666667
2015-09-04,1569.125
2015-09-05,1547.375
2015-09-06,1490.9166666666667
2015-09-07,1444.9583333333333
2015-09-08,1466.6666666666667
2015-09-09,1364.375
2015-09-10,1392.75
2015-09-11,1318.1666666666667
2015-09-12,1114.9166666666667
2015-09-13,1054.1666666666667
2015-09-14,1148.25
2015-09-15,1139.9166666666667
2015-09-16,1153.7916666666667
2015-09-17,1267.2916666666667
2015-09-18,1309.2083333333333
2015-09-19,1261.625
2015-09-20,1136.6666666666667
2015-09-21,1176.9166666666667
2015-09-22,1203.4166666666667
2015-09-23,1184.7083333333333
2015-09-24,1183.0416666666667
2015-09-25,1139.4166666666667
2015-09-26,1102.4583333333333
2015-09-27,1164.125
2015-09-28,1298.625
2015-09-29,1264.0416666666667
2015-09-30,1170.9583333333333
2015-10-01,1124.375
2015-10-02,1143.8333333333333
2015-10-03,1194.3333333333333
2015-10-04,1092.125
2015-10-05,1113.9166666666667
2015-10-06,1096.6666666666667
2015-10-07,1106.1666666666667
2015-10-08,1126.9583333333333
2015-10-09,1073.7083333333333
2015-10-10,1047.7916666666667
2015-10-11,1085.0833333333333
2015-10-12,1172.875
2015-10-13,1115.875
2015-10-14,1050.6666666666667
2015-10-15,1076.5
2015-10-16,1050.75
2015-10-17,1192.2083333333333
2015-10-18,1270.7916666666667
2015-10-19,1307.8333333333333
2015-10-20,1122.7916666666667
2015-10-21,1097.0833333333333
