Datetime,DUQ,Estimated_Temp_C
2009-10-20,1527.2083333333333,8.79825806451613
2009-10-21,1529.5,8.734903225806452
2009-10-22,1503.4583333333333,8.671548387096774
2009-10-23,1466.5833333333333,8.608193548387097
2009-10-24,1331.7916666666667,8.54483870967742
2009-10-25,1283.9166666666667,8.481483870967743
2009-10-26,1446.125,8.418129032258065
2009-10-27,1493.0416666666667,8.354774193548387
2009-10-28,1529.5833333333333,8.291419354838709
2009-10-29,1501.0,8.228064516129033
2009-10-30,1462.9583333333333,8.164709677419355
2009-10-31,1350.7083333333333,8.101354838709678
2009-11-01,1349.8695652173913,8.038
2009-11-02,1529.0416666666667,7.725633333333334
2009-11-03,1505.5416666666667,7.413266666666667
2009-11-04,1585.25,7.1009
2009-11-05,1569.375,6.7885333333333335
2009-11-06,1525.375,6.476166666666667
2009-11-07,1403.25,6.1638
2009-11-08,1332.3333333333333,5.8514333333333335
2009-11-09,1484.9166666666667,5.539066666666667
2009-11-10,1489.8333333333333,5.2267
2009-11-11,1503.0833333333333,4.914333333333333
2009-11-12,1527.75,4.601966666666667
2009-11-13,1515.5,4.2896
2009-11-14,1370.0833333333333,3.9772333333333334
2009-11-15,1348.1666666666667,3.6648666666666667
2009-11-16,1464.0416666666667,3.3525
2009-11-17,1506.875,3.0401333333333334
2009-11-18,1537.9583333333333,2.7277666666666667
2009-11-19,1555.4583333333333,2.4154
2009-11-20,1528.8333333333333,2.1030333333333333
2009-11-21,1414.625,1.7906666666666666
2009-11-22,1353.5,1.4783
2009-11-23,1523.8333333333333,1.1659333333333333
2009-11-24,1502.5833333333333,0.8535666666666666
2009-11-25,1489.625,0.5411999999999999
2009-11-26,1325.8333333333333,0.22883333333333322
2009-11-27,1453.25,-0.08353333333333346
2009-11-28,1417.3333333333333,-0.39590000000000103
2009-11-29,1379.2916666666667,-0.7082666666666668
2009-11-30,1520.9583333333333,-1.0206333333333326
2009-12-01,1569.75,-1.3330000000000002
2009-12-02,1630.9583333333333,-1.4093548387096777
2009-12-03,1612.375,-1.485709677419355
2009-12-04,1611.2083333333333,-1.5620645161290325
2009-12-05,1561.1666666666667,-1.6384193548387098
2009-12-06,1570.3333333333333,-1.7147741935483873
2009-12-07,1717.9166666666667,-1.7911290322580649
2009-12-08,1689.1666666666667,-1.8674838709677422
2009-12-09,1677.0416666666667,-1.9438387096774195
2009-12-10,1804.7083333333333,-2.020193548387097
2009-12-11,1831.75,-2.0965483870967745
2009-12-12,1627.0833333333333,-2.1729032258064516
2009-12-13,1576.2083333333333,-2.2492580645161295
2009-12-14,1659.1666666666667,-2.3256129032258066
2009-12-15,1706.5833333333333,-2.401967741935484
2009-12-16,1810.7916666666667,-2.4783225806451616
2009-12-17,1797.75,-2.5546774193548387
2009-12-18,1737.4583333333333,-2.6310322580645167
2009-12-19,1646.4166666666667,-2.7073870967741938
2009-12-20,1611.4166666666667,-2.7837419354838713
2009-12-21,1742.375,-2.860096774193549
2009-12-22,1724.125,-2.936451612903226
2009-12-23,1733.9166666666667,-3.0128064516129034
2009-12-24,1628.0416666666667,-3.089161290322581
2009-12-25,1476.5833333333333,-3.1655161290322584
2009-12-26,1479.875,-3.241870967741936
2009-12-27,1509.7083333333333,-3.318225806451613
2009-12-28,1706.25,-3.3945806451612905
2009-12-29,1728.9166666666667,-3.470935483870968
2009-12-30,1755.6666666666667,-3.5472903225806456
2009-12-31,1614.5833333333333,-3.6236451612903227
2010-01-01,1553.625,-3.7
2010-01-02,1678.7083333333333,-3.690677419354839
2010-01-03,1737.8333333333333,-3.6813548387096775
2010-01-04,1848.8333333333333,-3.672032258064516
2010-01-05,1853.5416666666667,-3.662709677419355
2010-01-06,1870.9166666666667,-3.6533870967741935
2010-01-07,1846.4166666666667,-3.6440645161290326
2010-01-08,1879.75,-3.6347419354838713
2010-01-09,1728.9166666666667,-3.62541935483871
2010-01-10,1755.25,-3.6160967741935486
2010-01-11,1889.2083333333333,-3.6067741935483872
2010-01-12,1880.4583333333333,-3.597451612903226
2010-01-13,1852.2083333333333,-3.5881290322580646
2010-01-14,1787.5416666666667,-3.5788064516129032
2010-01-15,1712.5416666666667,-3.569483870967742
2010-01-16,1524.875,-3.5601612903225806
2010-01-17,1518.375,-3.5508387096774197
2010-01-18,1651.0,-3.5415161290322583
2010-01-19,1719.2083333333333,-3.532193548387097
2010-01-20,1738.5416666666667,-3.5228709677419356
2010-01-21,1737.5833333333333,-3.5135483870967743
2010-01-22,1676.2083333333333,-3.504225806451613
2010-01-23,1497.375,-3.4949032258064516
2010-01-24,1482.125,-3.4855806451612903
2010-01-25,1624.5,-3.476258064516129
2010-01-26,1736.5833333333333,-3.4669354838709676
2010-01-27,1774.75,-3.4576129032258067
2010-01-28,1795.125,-3.4482903225806454
2010-01-29,1887.75,-3.438967741935484
2010-01-30,1762.125,-3.4296451612903227
2010-01-31,1710.9583333333333,-3.4203225806451614
2010-02-01,1762.9583333333333,-3.411
2010-02-02,1748.7916666666667,-3.0973214285714286
2010-02-03,1732.7916666666667,-2.783642857142857
2010-02-04,1701.0416666666667,-2.4699642857142856
2010-02-05,1707.7083333333333,-2.156285714285714
2010-02-06,1410.25,-1.8426071428571427
2010-02-07,1607.2916666666667,-1.5289285714285712
2010-02-08,1776.1666666666667,-1.2152499999999997
2010-02-09,1792.5416666666667,-0.9015714285714282
2010-02-10,1818.4166666666667,-0.5878928571428568
2010-02-11,1806.3333333333333,-0.2742142857142853
2010-02-12,1772.4583333333333,0.039464285714286174
2010-02-13,1659.8333333333333,0.35314285714285765
2010-02-14,1657.125,0.6668214285714291
2010-02-15,1836.6666666666667,0.9805000000000006
2010-02-16,1841.7916666666667,1.294178571428572
2010-02-17,1829.5416666666667,1.6078571428571435
2010-02-18,1798.6666666666667,1.921535714285715
2010-02-19,1743.8333333333333,2.2352142857142865
2010-02-20,1614.2083333333333,2.548892857142858
2010-02-21,1547.0,2.8625714285714294
2010-02-22,1689.625,3.176250000000001
2010-02-23,1723.75,3.4899285714285724
2010-02-24,1722.6666666666667,3.803607142857144
2010-02-25,1769.2083333333333,4.117285714285716
2010-02-26,1827.9583333333333,4.430964285714287
2010-02-27,1635.625,4.744642857142859
2010-02-28,1565.0833333333333,5.05832142857143
2010-03-01,1709.625,5.372000000000001
2010-03-02,1722.125,5.593290322580646
2010-03-03,1725.3333333333333,5.814580645161291
2010-03-04,1730.0833333333333,6.035870967741936
2010-03-05,1703.8333333333333,6.257161290322581
2010-03-06,1550.25,6.478451612903227
2010-03-07,1494.625,6.699741935483871
2010-03-08,1631.5416666666667,6.921032258064517
2010-03-09,1613.9583333333333,7.142322580645162
2010-03-10,1577.4166666666667,7.363612903225807
2010-03-11,1562.3333333333333,7.5849032258064515
2010-03-12,1551.25,7.806193548387097
2010-03-13,1471.875,8.027483870967743
2010-03-14,1436.7391304347825,8.248774193548387
2010-03-15,1609.8333333333333,8.470064516129032
2010-03-16,1606.6666666666667,8.691354838709678
2010-03-17,1587.2083333333333,8.912645161290323
2010-03-18,1580.4583333333333,9.133935483870967
2010-03-19,1550.7916666666667,9.355225806451614
2010-03-20,1409.875,9.576516129032258
2010-03-21,1345.1666666666667,9.797806451612903
2010-03-22,1536.2916666666667,10.01909677419355
2010-03-23,1583.5833333333333,10.240387096774192
2010-03-24,1580.7083333333333,10.461677419354839
2010-03-25,1574.8333333333333,10.682967741935485
2010-03-26,1605.5833333333333,10.904258064516128
2010-03-27,1474.5416666666667,11.125548387096774
2010-03-28,1408.6666666666667,11.346838709677419
2010-03-29,1555.9166666666667,11.568129032258064
2010-03-30,1534.0416666666667,11.78941935483871
2010-03-31,1557.4583333333333,12.010709677419355
2010-04-01,1532.5416666666667,12.232
2010-04-02,1469.2083333333333,12.395233333333332
2010-04-03,1429.875,12.558466666666666
2010-04-04,1301.0833333333333,12.721699999999998
2010-04-05,1563.8333333333333,12.884933333333333
2010-04-06,1647.1666666666667,13.048166666666665
2010-04-07,1689.2083333333333,13.2114
2010-04-08,1592.9583333333333,13.374633333333332
2010-04-09,1525.8333333333333,13.537866666666666
2010-04-10,1392.3333333333333,13.701099999999999
2010-04-11,1340.9583333333333,13.864333333333333
2010-04-12,1524.5,14.027566666666665
2010-04-13,1520.7083333333333,14.1908
2010-04-14,1541.6666666666667,14.354033333333332
2010-04-15,1537.0416666666667,14.517266666666664
2010-04-16,1520.625,14.680499999999999
2010-04-17,1344.375,14.843733333333333
2010-04-18,1367.7083333333333,15.006966666666665
2010-04-19,1550.375,15.170199999999998
2010-04-20,1508.4166666666667,15.333433333333332
2010-04-21,1516.2916666666667,15.496666666666666
2010-04-22,1524.0416666666667,15.659899999999999
2010-04-23,1512.5416666666667,15.823133333333331
2010-04-24,1341.625,15.986366666666665
2010-04-25,1321.5416666666667,16.1496
2010-04-26,1505.3333333333333,16.31283333333333
2010-04-27,1487.8333333333333,16.476066666666664
2010-04-28,1539.7916666666667,16.6393
2010-04-29,1539.1666666666667,16.80253333333333
2010-04-30,1541.7916666666667,16.965766666666664
2010-05-01,1455.2083333333333,17.128999999999998
2010-05-02,1445.1666666666667,17.284064516129032
2010-05-03,1663.7916666666667,17.439129032258062
2010-05-04,1572.1666666666667,17.594193548387096
2010-05-05,1627.375,17.749258064516127
2010-05-06,1593.7916666666667,17.90432258064516
2010-05-07,1559.0,18.05938709677419
2010-05-08,1381.3333333333333,18.214451612903225
2010-05-09,1322.3333333333333,18.369516129032256
2010-05-10,1509.2916666666667,18.52458064516129
2010-05-11,1529.9166666666667,18.67964516129032
2010-05-12,1543.0,18.834709677419355
2010-05-13,1544.9166666666667,18.989774193548385
2010-05-14,1675.875,19.14483870967742
2010-05-15,1417.5416666666667,19.29990322580645
2010-05-16,1348.5416666666667,19.454967741935484
2010-05-17,1566.875,19.610032258064514
2010-05-18,1537.6666666666667,19.765096774193548
2010-05-19,1565.7916666666667,19.92016129032258
2010-05-20,1606.1666666666667,20.075225806451613
2010-05-21,1609.4583333333333,20.230290322580643
2010-05-22,1465.5416666666667,20.385354838709677
2010-05-23,1462.2083333333333,20.540419354838708
2010-05-24,1738.1666666666667,20.695483870967742
2010-05-25,1806.4166666666667,20.850548387096772
2010-05-26,1965.25,21.005612903225806
2010-05-27,2016.0833333333333,21.16067741935484
2010-05-28,1943.0,21.31574193548387
2010-05-29,1698.75,21.4708064516129
2010-05-30,1674.3333333333333,21.625870967741935
2010-05-31,1740.5,21.78093548387097
2010-06-01,1882.6666666666667,21.936
2010-06-02,1892.4583333333333,22.011566666666667
2010-06-03,1807.2083333333333,22.087133333333334
2010-06-04,1889.2083333333333,22.1627
2010-06-05,1679.625,22.238266666666668
2010-06-06,1575.8333333333333,22.313833333333335
2010-06-07,1632.9166666666667,22.389400000000002
2010-06-08,1598.9583333333333,22.46496666666667
2010-06-09,1660.4583333333333,22.540533333333332
2010-06-10,1755.9583333333333,22.6161
2010-06-11,1747.9583333333333,22.691666666666666
2010-06-12,1840.4166666666667,22.767233333333333
2010-06-13,1847.625,22.8428
2010-06-14,1941.25,22.918366666666667
2010-06-15,1883.4583333333333,22.993933333333334
2010-06-16,2007.5,23.0695
2010-06-17,1746.4166666666667,23.14506666666667
2010-06-18,1803.875,23.220633333333335
2010-06-19,1888.9166666666667,23.296200000000002
2010-06-20,1822.5833333333333,23.37176666666667
2010-06-21,1996.375,23.447333333333336
2010-06-22,2088.25,23.522900000000003
2010-06-23,2161.125,23.59846666666667
2010-06-24,2066.9166666666665,23.674033333333334
2010-06-25,1917.2083333333333,23.7496
2010-06-26,1877.7083333333333,23.825166666666668
2010-06-27,2044.375,23.900733333333335
2010-06-28,2060.375,23.976300000000002
2010-06-29,1785.625,24.05186666666667
2010-06-30,1630.1666666666667,24.127433333333336
2010-07-01,1576.0833333333333,24.203000000000003
2010-07-02,1572.1666666666667,24.180387096774197
2010-07-03,1590.5416666666667,24.15777419354839
2010-07-04,1719.5,24.135161290322582
2010-07-05,2037.4583333333333,24.112548387096776
