Datetime,FE,Estimated_Temp_C
2011-11-23,7656.916666666667,4.5194133333333335
2011-11-24,6302.916666666667,4.3414866666666665
2011-11-25,6324.458333333333,4.16356
2011-11-26,6254.416666666667,3.9856333333333334
2011-11-27,6377.125,3.8077066666666672
2011-11-28,7708.791666666667,3.6297800000000002
2011-11-29,8003.916666666667,3.451853333333333
2011-11-30,8337.208333333334,3.273926666666667
2011-12-01,8274.083333333334,3.0960000000000005
2011-12-02,8287.5,3.006529032258065
2011-12-03,7352.666666666667,2.9170580645161297
2011-12-04,6872.75,2.8275870967741943
2011-12-05,7965.333333333333,2.7381161290322584
2011-12-06,8355.5,2.648645161290323
2011-12-07,8401.416666666666,2.5591741935483876
2011-12-08,8462.083333333334,2.469703225806452
2011-12-09,8297.708333333334,2.3802322580645168
2011-12-10,7762.208333333333,2.290761290322581
2011-12-11,7567.916666666667,2.2012903225806455
2011-12-12,8421.5,2.11181935483871
2011-12-13,8478.833333333334,2.0223483870967747
2011-12-14,8217.0,1.932877419354839
2011-12-15,8017.75,1.8434064516129036
2011-12-16,8230.166666666666,1.753935483870968
2011-12-17,7650.541666666667,1.6644645161290326
2011-12-18,7405.0,1.5749935483870972
2011-12-19,8230.625,1.4855225806451615
2011-12-20,8274.958333333334,1.396051612903226
2011-12-21,8031.5,1.3065806451612905
2011-12-22,7944.458333333333,1.217109677419355
2011-12-23,7704.75,1.1276387096774196
2011-12-24,6922.583333333333,1.0381677419354842
2011-12-25,6469.833333333333,0.9486967741935488
2011-12-26,6685.5,0.859225806451613
2011-12-27,7739.458333333333,0.7697548387096775
2011-12-28,8079.333333333333,0.6802838709677421
2011-12-29,7995.375,0.5908129032258067
2011-12-30,7243.916666666667,0.5013419354838713
2011-12-31,6744.833333333333,0.41187096774193543
2012-01-01,6571.583333333333,0.32240000000000013
2012-01-02,7533.041666666667,0.3889483870967743
2012-01-03,8889.125,0.4554967741935485
2012-01-04,8903.041666666666,0.5220451612903227
2012-01-05,8425.541666666666,0.5885935483870969
2012-01-06,7880.833333333333,0.655141935483871
2012-01-07,7018.25,0.7216903225806452
2012-01-08,6913.333333333333,0.7882387096774195
2012-01-09,8092.25,0.8547870967741936
2012-01-10,8116.416666666667,0.9213354838709679
2012-01-11,8187.416666666667,0.987883870967742
2012-01-12,8124.833333333333,1.0544322580645162
2012-01-13,8946.583333333334,1.1209806451612905
2012-01-14,8159.125,1.1875290322580647
2012-01-15,7660.0,1.2540774193548387
2012-01-16,8411.25,1.3206258064516128
2012-01-17,8119.625,1.387174193548387
2012-01-18,8710.458333333334,1.4537225806451612
2012-01-19,9062.083333333334,1.5202709677419355
2012-01-20,9025.458333333334,1.5868193548387097
2012-01-21,8102.625,1.653367741935484
2012-01-22,7613.291666666667,1.7199161290322582
2012-01-23,8067.833333333333,1.786464516129032
2012-01-24,8562.041666666666,1.8530129032258063
2012-01-25,8523.75,1.9195612903225805
2012-01-26,8419.916666666666,1.9861096774193547
2012-01-27,8206.708333333334,2.052658064516129
2012-01-28,7673.916666666667,2.119206451612903
2012-01-29,7453.583333333333,2.1857548387096775
2012-01-30,8515.666666666666,2.2523032258064517
2012-01-31,7898.75,2.3188516129032255
2012-02-01,7650.375,2.3853999999999997
2012-02-02,8088.5,2.6421517241379306
2012-02-03,7900.666666666667,2.8989034482758615
2012-02-04,7290.083333333333,3.155655172413793
2012-02-05,6891.791666666667,3.412406896551724
2012-02-06,7953.458333333333,3.6691586206896547
2012-02-07,8366.625,3.925910344827586
2012-02-08,8482.833333333334,4.1826620689655165
2012-02-09,8451.5,4.439413793103448
2012-02-10,8400.333333333334,4.696165517241379
2012-02-11,8063.583333333333,4.95291724137931
2012-02-12,7863.958333333333,5.209668965517241
2012-02-13,8567.958333333334,5.4664206896551715
2012-02-14,8430.25,5.723172413793103
2012-02-15,8224.75,5.979924137931034
2012-02-16,8130.291666666667,6.2366758620689655
2012-02-17,7927.083333333333,6.493427586206896
2012-02-18,7258.166666666667,6.750179310344827
2012-02-19,7176.333333333333,7.006931034482758
2012-02-20,8112.416666666667,7.263682758620689
2012-02-21,8310.583333333334,7.52043448275862
2012-02-22,7848.5,7.777186206896551
2012-02-23,8005.041666666667,8.033937931034483
2012-02-24,8000.666666666667,8.290689655172413
2012-02-25,7672.083333333333,8.547441379310344
2012-02-26,7105.25,8.804193103448275
2012-02-27,7882.416666666667,9.060944827586205
2012-02-28,8102.625,9.317696551724136
2012-02-29,7953.375,9.574448275862068
2012-03-01,7995.041666666667,9.831199999999999
2012-03-02,7923.708333333333,9.84436129032258
2012-03-03,7387.25,9.85752258064516
2012-03-04,7221.75,9.87068387096774
2012-03-05,8378.75,9.883845161290322
2012-03-06,8321.666666666666,9.897006451612903
2012-03-07,7610.083333333333,9.910167741935483
2012-03-08,7618.75,9.923329032258064
2012-03-09,7871.958333333333,9.936490322580644
2012-03-10,7051.458333333333,9.949651612903224
2012-03-11,6288.391304347826,9.962812903225807
2012-03-12,7256.625,9.975974193548387
2012-03-13,7210.416666666667,9.989135483870967
2012-03-14,7284.125,10.002296774193548
2012-03-15,7176.75,10.015458064516128
