Datetime,DAYTON,Estimated_Temp_C
2016-04-20,1810.5416666666667,14.775311320968878
2016-04-21,1807.875,14.976567943974032
2016-04-22,1742.2083333333333,15.177824566979186
2016-04-23,1516.9166666666667,15.37908118998434
2016-04-24,1457.5416666666667,15.580337812989493
2016-04-25,1816.4166666666667,15.781594435994643
2016-04-26,1906.8333333333333,15.9828510589998
2016-04-27,1773.5833333333333,16.18410768200495
2016-04-28,1805.7916666666667,16.385364305010107
2016-04-29,1743.0833333333333,16.586620928015257
2016-04-30,1565.3333333333333,16.78787755102041
2016-05-01,1532.25,16.93906666666667
2016-05-02,1782.7916666666667,17.095837033276933
2016-05-03,1791.9166666666667,17.2526073998872
2016-05-04,1820.375,17.409377766497464
2016-05-05,1855.875,17.566148133107728
2016-05-06,1776.9166666666667,17.722918499717995
2016-05-07,1508.375,17.87968886632826
2016-05-08,1413.375,18.03645923293852
2016-05-09,1791.7916666666667,18.19322959954879
2016-05-10,1843.4166666666667,18.349999966159054
2016-05-11,1888.0,18.50677033276932
2016-05-12,1927.75,18.663540699379585
2016-05-13,1757.0833333333333,18.82031106598985
2016-05-14,1556.9166666666667,18.977081432600112
2016-05-15,1528.3333333333333,19.13385179921038
2016-05-16,1821.7916666666667,19.290622165820643
2016-05-17,1795.5,19.447392532430907
2016-05-18,1808.5,19.60416289904117
2016-05-19,1789.75,19.76093326565144
2016-05-20,1746.375,19.917703632261706
2016-05-21,1513.2916666666667,20.07447399887197
2016-05-22,1478.5416666666667,20.231244365482237
2016-05-23,1829.375,20.388014732092497
2016-05-24,1934.0,20.544785098702764
2016-05-25,2009.625,20.701555465313028
2016-05-26,2107.9166666666665,20.85832583192329
2016-05-27,2139.208333333333,21.01509619853356
2016-05-28,1863.3333333333333,21.171866565143823
2016-05-29,1771.125,21.32863693175409
2016-05-30,1825.8333333333333,21.485407298364358
2016-05-31,2231.125,21.642177664974614
2016-06-01,2303.375,21.46957142857143
2016-06-02,2216.875,21.54621622097115
2016-06-03,2198.083333333333,21.62286101337087
2016-06-04,1846.1666666666667,21.699505805770585
2016-06-05,1744.4166666666667,21.776150598170304
2016-06-06,2107.958333333333,21.852795390570023
2016-06-07,1937.75,21.929440182969746
2016-06-08,1868.875,22.00608497536946
2016-06-09,1937.875,22.08272976776918
2016-06-10,2017.0416666666667,22.159374560168896
2016-06-11,2121.958333333333,22.23601935256861
2016-06-12,2093.333333333333,22.31266414496833
2016-06-13,2107.583333333333,22.389308937368053
2016-06-14,2162.5416666666665,22.46595372976777
2016-06-15,2348.958333333333,22.54259852216749
2016-06-16,2298.208333333333,22.619243314567207
2016-06-17,2208.0416666666665,22.69588810696693
2016-06-18,1964.0416666666667,22.772532899366645
2016-06-19,1999.0833333333333,22.849177691766364
2016-06-20,2539.5416666666665,22.925822484166083
2016-06-21,2431.583333333333,23.0024672765658
2016-06-22,2105.125,23.07911206896552
2016-06-23,2378.875,23.15575686136524
2016-06-24,2277.208333333333,23.23240165376496
2016-06-25,2054.5,23.309046446164675
2016-06-26,2229.208333333333,23.385691238564394
2016-06-27,2579.9166666666665,23.46233603096411
2016-06-28,2330.5416666666665,23.53898082336383
2016-06-29,2041.7916666666667,23.61562561576355
2016-06-30,2068.7916666666665,23.692270408163267
2016-07-01,2039.5,23.580112903225807
2016-07-02,1596.9166666666667,23.551043493526443
2016-07-03,1469.7083333333333,23.52197408382708
2016-07-04,1513.25,23.492904674127715
2016-07-05,2069.1666666666665,23.463835264428354
2016-07-06,2211.875,23.43476585472899
2016-07-07,2305.208333333333,23.405696445029623
2016-07-08,2306.7916666666665,23.376627035330262
2016-07-09,1969.9166666666667,23.3475576256309
2016-07-10,1886.4583333333333,23.31848821593153
2016-07-11,2379.2916666666665,23.28941880623217
2016-07-12,2527.1666666666665,23.260349396532806
2016-07-13,2598.958333333333,23.23127998683345
2016-07-14,2393.7916666666665,23.20221057713408
2016-07-15,2408.708333333333,23.17314116743472
2016-07-16,1978.3333333333333,23.144071757735357
2016-07-17,2001.3333333333333,23.11500234803599
2016-07-18,2463.6666666666665,23.085932938336622
2016-07-19,2522.0416666666665,23.056863528637265
2016-07-20,2522.458333333333,23.0277941189379
2016-07-21,2608.083333333333,22.998724709238537
2016-07-22,2438.2916666666665,22.969655299539173
2016-07-23,2398.5,22.94058588983981
2016-07-24,2448.1666666666665,22.911516480140445
2016-07-25,2828.958333333333,22.88244707044108
2016-07-26,2602.0,22.85337766074172
2016-07-27,2645.1666666666665,22.824308251042357
2016-07-28,2538.1666666666665,22.795238841342996
2016-07-29,2433.208333333333,22.76616943164363
2016-07-30,2127.875,22.737100021944265
2016-07-31,2112.6666666666665,22.7080306122449
2016-08-01,2478.6666666666665,22.60085483870968
2016-08-02,2577.333333333333,22.476230574204468
2016-08-03,2622.75,22.351606309699253
2016-08-04,2662.75,22.22698204519404
2016-08-05,2701.833333333333,22.10235778068883
2016-08-06,2290.5416666666665,21.977733516183616
2016-08-07,2064.9166666666665,21.853109251678404
2016-08-08,2411.2916666666665,21.72848498717319
2016-08-09,2581.208333333333,21.603860722667974
2016-08-10,2561.458333333333,21.479236458162767
2016-08-11,2736.6666666666665,21.35461219365755
2016-08-12,2758.25,21.22998792915234
2016-08-13,2374.5416666666665,21.10536366464713
2016-08-14,1987.9166666666667,20.980739400141918
2016-08-15,2294.958333333333,20.856115135636703
2016-08-16,2354.5,20.73149087113149
2016-08-17,2383.375,20.60686660662628
2016-08-18,2429.583333333333,20.482242342121065
2016-08-19,2412.583333333333,20.35761807761585
2016-08-20,2086.2916666666665,20.23299381311064
2016-08-21,1867.9166666666667,20.108369548605427
2016-08-22,2082.5416666666665,19.983745284100213
2016-08-23,2151.2916666666665,19.859121019595
2016-08-24,2275.5,19.734496755089783
2016-08-25,2641.25,19.60987249058457
2016-08-26,2628.6666666666665,19.485248226079364
2016-08-27,2256.958333333333,19.36062396157415
2016-08-28,2217.833333333333,19.235999697068937
2016-08-29,2546.25,19.11137543256373
2016-08-30,2542.0416666666665,18.98675116805851
2016-08-31,2468.7916666666665,18.8621269035533
2016-09-01,2163.9166666666665,18.40031746031746
2016-09-02,1964.7916666666667,18.18154258768052
2016-09-03,1695.1666666666667,17.962767715043576
2016-09-04,1706.9583333333333,17.743992842406634
2016-09-05,1914.875,17.52521796976969
2016-09-06,2508.25,17.306443097132753
2016-09-07,2671.625,17.08766822449581
2016-09-08,2638.958333333333,16.86889335185887
2016-09-09,2474.5,16.650118479221927
2016-09-10,2159.6666666666665,16.431343606584985
2016-09-11,1693.0416666666667,16.212568733948043
2016-09-12,2011.625,15.9937938613111
2016-09-13,2111.5,15.77501898867416
2016-09-14,2158.6666666666665,15.556244116037218
2016-09-15,2062.5,15.337469243400276
2016-09-16,2147.875,15.118694370763336
2016-09-17,1931.8333333333333,14.899919498126394
2016-09-18,1917.0416666666667,14.681144625489452
2016-09-19,2223.083333333333,14.46236975285251
2016-09-20,2233.208333333333,14.243594880215568
2016-09-21,2290.083333333333,14.024820007578626
2016-09-22,2319.4166666666665,13.806045134941686
2016-09-23,2377.333333333333,13.587270262304743
2016-09-24,1967.4583333333333,13.368495389667803
2016-09-25,1844.375,13.14972051703086
